city,state_id,population
Glens Falls,NY,63499.0
Castro Valley,CA,63288.0
Fairbanks,AK,63245.0
Springfield,OR,63230.0
Johnstown,PA,63141.0
West Hartford,CT,63127.0
Coon Rapids,MN,62998.0
Elmira,NY,62989.0
Brentwood,NY,62942.0
Mankato,MN,62889.0
Albany,OR,62880.0
North Miami,FL,62822.0
Dundalk,MD,62768.0
Encinitas,CA,62709.0
Skokie,IL,62700.0
Leander,TX,62608.0
Mayagüez,PR,62579.0
Greenwich,CT,62574.0
Parkersburg,WV,62566.0
Waltham,MA,62495.0
Bethesda,MD,62448.0
San Luis Obispo,CA,62290.0
Sebring,FL,62250.0
Council Bluffs,IA,62166.0
Hamilton,OH,62082.0
Moore,OK,62055.0
Pico Rivera,CA,62027.0
Palm Harbor,FL,61995.0
North Bergen,NJ,61970.0
Casa Grande,AZ,61966.0
Monessen,PA,61960.0
Montebello,CA,61954.0
Fairfield,CT,61598.0
Rome,GA,61537.0
Millcreek,UT,61450.0
Sanford,FL,61448.0
National City,CA,61394.0
Burnsville,MN,61339.0
Coconut Creek,FL,61248.0
Hamden,CT,61206.0
Port Charlotte,FL,61204.0
Morristown,TN,61171.0
Lakewood,WA,61037.0
Gadsden,AL,60944.0
Taylor,MI,60922.0
Novi,MI,60896.0
Marietta,GA,60867.0
Hot Springs,AR,60767.0
Woodland,CA,60598.0
La Habra,CA,60513.0
The Hammocks,FL,60473.0
Malden,MA,60470.0
Bensalem,PA,60370.0
Commerce City,CO,60336.0
Reston,VA,60335.0
South Whittier,CA,60096.0
Bristol,CT,59947.0
Columbus,IN,59897.0
West Allis,WI,59890.0
Fountainebleau,FL,59833.0
Taylorsville,UT,59805.0
Bangor,ME,59772.0
Monterey Park,CA,59669.0
Greenwood,IN,59458.0
Bartlett,TN,59440.0
Bradenton,FL,59439.0
Pontiac,MI,59438.0
Staunton,VA,59433.0
Clay,NY,59423.0
Meriden,CT,59395.0
Plymouth,MA,59331.0
Gardena,CA,59329.0
Apex,NC,59300.0
Royal Oak,MI,59277.0
Cupertino,CA,59276.0
La Mesa,CA,59249.0
Brookline,MA,59234.0
Benton Harbor,MI,59216.0
St. Clair Shores,MI,58984.0
Des Plaines,IL,58899.0
Lewiston,ME,58802.0
Margate,FL,58796.0
Midland,MI,58787.0
Spring,TX,58756.0
Carson City,NV,58756.0
Lower Merion,PA,58735.0
Bowie,MD,58643.0
Middletown,NY,58592.0
Caldwell,ID,58481.0
San Rafael,CA,58440.0
Kendale Lakes,FL,58395.0
Towson,MD,58347.0
Richland,WA,58225.0
St. Peters,MO,58212.0
South Hill,WA,58164.0
Union,NJ,58158.0
Hendersonville,TN,58113.0
White Plains,NY,58109.0
Hamburg,NY,58105.0
Huntersville,NC,58098.0
Santee,CA,58081.0
Jefferson City,MO,58025.0
Southampton,NY,57975.0
Manchester,CT,57955.0
Beckley,WV,57942.0
Arcadia,CA,57939.0
Titusville,FL,57891.0
Cartersville,GA,57873.0
Walla Walla,WA,57860.0
Orland Park,IL,57857.0
Weymouth,MA,57746.0
Parker,CO,57706.0
Palm Beach Gardens,FL,57704.0
Bozeman,MT,57695.0
East Stroudsburg,PA,57577.0
Tamiami,FL,57514.0
Huntington Park,CA,57509.0
Taunton,MA,57464.0
Midwest City,OK,57407.0
Medford,MA,57341.0
Goldsboro,NC,57278.0
Euless,TX,57197.0
Manhattan,KS,57046.0
Shoreline,WA,57027.0
Piscataway,NJ,56931.0
Lake Havasu City,AZ,56820.0
Smyrna,GA,56666.0
Jackson,NJ,56614.0
Cape Girardeau,MO,56551.0
Grants Pass,OR,55837.0
Blue Springs,MO,55829.0
Southaven,MS,55780.0
Tinley Park,IL,55773.0
Diamond Bar,CA,55720.0
Pittsfield,MA,55697.0
Eagle Pass,TX,55686.0
New Brunswick,NJ,55676.0
Lenexa,KS,55625.0
Hazleton,PA,55604.0
Abington,PA,55573.0
Twin Falls,ID,55556.0
Brookhaven,GA,55554.0
Novato,CA,55516.0
Tigard,OR,55514.0
Aloha,OR,55492.0
Highland,CA,55417.0
